n_estimators,learning_rate,max_depth,min_child_weight,gamma,subsample,colsample_bytree,reg_alpha,reg_lambda,objective,eval_metric,random_state,verbosity,Score
182,0.034644213887322986,6,9.71406913873956,0.14595452117738994,0.7745464078642961,0.5504898392099907,1.5166161603842931,1.0900962363439852,reg:squarederror,rmse,42,0,0.454848575495632
177,0.03481007947278516,6,9.975096651743169,0.1430879232402151,0.7799168815662911,0.5399132374504276,1.535380515423672,1.0655481603347357,reg:squarederror,rmse,42,0,0.4524014569020093
190,0.048438527212064646,6,9.7473359966856,0.14266152769985904,0.7775750535526956,0.5657892080604335,1.5023933208297051,0.9218670014621121,reg:squarederror,rmse,42,0,0.4481256115247154
183,0.03572867172834609,5,9.990581518324246,0.1265594306745105,0.7920252368333183,0.5473825929166329,1.4162560933413062,1.1095494529954755,reg:squarederror,rmse,42,0,0.4512756340356745
173,0.01689665647953345,7,8.885089639358561,0.20312026113454068,0.768525411141331,0.5139057620393883,1.3298415005597772,1.3426379621974562,reg:squarederror,rmse,42,0,0.4364579986330136
150,0.04338650748266233,6,9.568022293315597,0.16216121374122625,0.7565677090854963,0.6791668374231603,1.5285514348815081,0.7920574465626962,reg:squarederror,rmse,42,0,0.44611725165065064
183,0.02681275726707391,6,9.673813065594098,0.21449082745127848,0.9630344862583871,0.5937822113406741,1.6137659911744626,1.4408095186810852,reg:squarederror,rmse,42,0,0.43425652425248557
120,0.029963643551577143,5,8.258928583939518,0.08663679938984115,0.7072898453100065,0.500303750453865,1.6885341544528942,1.032191562760056,reg:squarederror,rmse,42,0,0.4420121853089903
162,0.039997335883967484,5,9.993995279087567,0.17666139858651428,0.6774350880695569,0.5876849747374172,1.398229431176589,0.6386639660128333,reg:squarederror,rmse,42,0,0.44951288474386947
175,0.032810580310905994,7,9.330047760824623,0.18702289919404855,0.7242436998578559,0.5450086684569692,1.2637830402880073,0.8966533651650801,reg:squarederror,rmse,42,0,0.4425478156582434
169,0.03451888156216388,6,9.251585285289213,0.07152085149975503,0.8422425474708385,0.5346060027151398,1.724412406312295,1.0933314701370702,reg:squarederror,rmse,42,0,0.44669681695978286
180,0.03263388058822358,6,9.63863061684794,0.10867390217410797,0.8082562213694151,0.567831838022563,1.8612956263085514,1.1987859266685048,reg:squarederror,rmse,42,0,0.45280324381958925
194,0.03657587761367013,6,9.660730591138162,0.1236560034392857,0.7957843320738248,0.5661106935385031,1.8238763712675758,1.187958610525636,reg:squarederror,rmse,42,0,0.4498053346193392
188,0.031222290834770183,6,8.926608787629297,0.10342779591382686,0.7436638107012565,0.5181234812303014,1.5947555363312167,0.9938160489635867,reg:squarederror,rmse,42,0,0.4504085351042807
99,0.0411004315566277,5,9.789333170996725,0.14992465748324993,0.8028369171802364,0.6265023797568688,1.953479462890883,1.3027974469905104,reg:squarederror,rmse,42,0,0.4415848607479078
180,0.029229992622035347,7,9.446494998228728,0.05292969304697008,0.7741986124109622,0.6455494726189183,1.6611912611225468,1.192424951529409,reg:squarederror,rmse,42,0,0.4500945428344136
200,0.024803089408869067,4,8.492863598951896,0.1370157728039588,0.6413192559514882,0.5835298706542406,1.4664934694439664,1.3853791432762246,reg:squarederror,rmse,42,0,0.4511884623797403
